record_id,statement_date,organization_or_domain,topic,statement_type,statement_paraphrase,target_date_or_timeframe,statement_source_url,statement_source_title,statement_source_tier,evaluation_date,verdict,deadline_result,eventual_fulfillment,factual_accuracy,binary_resolved_score,on_time_score,weighted_reliability_score,deception_intent_status,outcome_summary,outcome_source_1_url,outcome_source_1_title,outcome_source_2_url,outcome_source_2_title,confidence,included_in_site_percentage,selection_basis,source_quality_notes,methodology_notes
TESLA-035,2019-11-21,Tesla,Cybertruck price,Product promise,"Offer an entry Cybertruck at about $39,900.",At launch,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"Tesla announced a starting price of $60,990 at the 2023 delivery launch, over 50 percent above the original figure.",https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-036,2019-11-21,Tesla,Cybertruck range,Product promise,Offer a top Cybertruck with more than 500 miles of range.,At launch,https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,Tier 1 independent,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,The longest-range launch configuration was rated around 340 miles; an optional extender was projected to reach roughly 470 miles.,https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-037,2017-11,Tesla,Tesla Semi,Dated promise,Begin Tesla Semi production in 2019.,2019,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,FULFILLED_LATE,About three years late,Yes,Not applicable,1,0,0.5,Not established,Tesla made its first Semi customer deliveries in December 2022.,https://www.reuters.com/business/autos-transportation/teslas-semi-factory-nevada-have-first-trucks-production-by-end-2025-2025-04-28/,Tesla Semi factory to have first trucks in production by end of 2025,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-038,2017-11,Tesla,Tesla Semi range,Product promise,Demonstrate a fully loaded Tesla Semi capable of 500 miles.,Before broad production,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,FULFILLED,No clear deadline,Yes,Not applicable,1,,0.75,Not established,Tesla reported a 500-mile trip with a fully loaded Semi before first deliveries; independent detail is limited.,https://www.tesla.com/semi,Tesla Semi product page,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Medium-High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","Outcome is largely company-reported, so confidence is lower than for audited production figures."
TESLA-039,2022-12,Tesla,Tesla Semi volume,Dated forecast,"Produce 50,000 Tesla Semi trucks in 2024.",2024,https://www.reuters.com/business/autos-transportation/teslas-semi-factory-nevada-have-first-trucks-production-by-end-2025-2025-04-28/,Tesla Semi factory to have first trucks in production by end of 2025,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,The target was missed; Tesla later said its dedicated Nevada factory would begin production only by the end of 2025 and ramp in 2026.,https://www.reuters.com/business/autos-transportation/teslas-semi-factory-nevada-have-first-trucks-production-by-end-2025-2025-04-28/,Tesla Semi factory to have first trucks in production by end of 2025,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-040,2017-11,Tesla,Roadster,Dated promise,Start production of the next-generation Roadster in 2020.,2020,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,The Roadster did not enter production in 2020 and remained unreleased through the evaluation date.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-041,2024,Tesla,Roadster,Revised dated promise,Ship the next-generation Roadster in 2025.,2025,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,The Roadster was not delivered in 2025 and remained unreleased by July 2026.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-042,2019-07-30,Tesla,Solar Roof,Dated forecast,"Reach about 1,000 Solar Roof installations per week by the end of 2019.",2019-12-31,https://www.reuters.com/article/us-tesla-solarroof/tesla-ceo-says-company-aims-to-make-1000-solar-roofs-weekly-by-end-2019-idUSKCN1UP2EE/,"Tesla aims to make 1,000 solar roofs weekly by end-2019",Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"Independent market estimates years later remained far below 1,000 installations per week.",https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-043,2016-07-20,Tesla,Solar Roof and storage,Promise,Create a smoothly integrated solar-roof and battery product.,No explicit deadline,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,FULFILLED,No dated deadline,Yes,Not applicable,1,,1.0,Not established,Tesla sells Solar Roof integrated with Powerwall energy storage.,https://www.tesla.com/solarroof,Tesla Solar Roof,https://www.tesla.com/powerwall,Tesla Powerwall,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-044,2016-07-20,Tesla,Tesla Semi,Dated promise,Unveil a heavy-duty truck the following year.,2017,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,FULFILLED_ON_TIME,Met,Yes,Not applicable,1,1,1.0,Not established,Tesla unveiled the Semi in November 2017.,https://www.tesla.com/blog/tesla-semi,Tesla Semi unveiled,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-045,2016-07-20,Tesla,Urban transport,Dated promise,Unveil a high-passenger-density urban transport vehicle the following year.,2017,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla did not unveil a bus or comparable high-density urban transport vehicle in 2017.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-046,2016-07-20,Tesla,Tesla Network,Conditional promise,Let owners add autonomous Teslas to a shared fleet and earn money when true self-driving was approved.,Conditional on regulatory approval and full autonomy,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,PENDING,Condition not met,Pending,Not applicable,,,,Not established,"The owner-operated Tesla Network has not launched, but the promise was expressly conditional on autonomy and regulatory approval.",https://www.tesla.com/support/fsd,Tesla Full Self-Driving (Supervised) support page,https://www.reuters.com/business/autos-transportation/teslas-once-bullish-tone-robotaxis-shifts-2026-07-23/,Tesla's once-bullish tone on robotaxis shifts,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Conditional promise excluded from percentage until its condition is met or Tesla abandons it.
TESLA-047,2020,Tesla,Vehicle volume,Long-range goal,Produce 20 million vehicles annually by 2030.,2030,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,PENDING,Future target,Pending,Not applicable,,,,Not established,"The deadline is still future, although Tesla stopped highlighting the 20-million target in later impact reporting.",https://www.reuters.com/business/autos-transportation/tesla-drops-20-million-vehicle-production-target-impact-report-2024-05-23/,Tesla drops 20 million vehicle production target from impact report,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Future claims are excluded from resolved percentages.
TESLA-048,2021-08,Tesla,Optimus robot,Dated promise,Show a working Tesla Bot prototype in 2022.,2022,https://www.reuters.com/technology/tesla-unveils-optimus-robot-prototype-targets-price-under-20000-2022-10-01/,Tesla unveils Optimus robot prototype,Tier 1 independent,2026-07-26,FULFILLED_ON_TIME,Met,Yes,Not applicable,1,1,1.0,Not established,Tesla demonstrated an early walking Optimus prototype in September 2022.,https://www.reuters.com/technology/tesla-unveils-optimus-robot-prototype-targets-price-under-20000-2022-10-01/,Tesla unveils Optimus robot prototype,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-049,2024,Tesla,Optimus deployment,Dated forecast,Use Optimus robots for useful internal Tesla tasks in 2025 and sell them externally in 2026.,Internal use 2025; external sales 2026,https://www.reuters.com/business/autos-transportation/musk-says-tesla-have-humanoid-robots-internal-use-next-year-2024-07-22/,Musk says Tesla to have humanoid robots in internal use next year,Tier 1 independent quoting Musk,2026-07-26,PARTIALLY_FULFILLED,2025 internal-use evidence limited; 2026 external target pending,Partial,Not applicable,,0,0.25,Not established,"Public evidence of meaningful 2025 factory deployment was limited, while the external-sales deadline had not fully elapsed by the evaluation date.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,Medium,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Mixed multi-part claim excluded from headline percentage until the 2026 portion matures.
TESLA-050,2018-08-07,Tesla,Taking Tesla private,Factual assertion,Stated that funding was secured to take Tesla private at $420 per share.,Present-tense claim,https://www.sec.gov/newsroom/press-releases/2018-219,SEC charges Elon Musk with securities fraud,Official regulator reproducing statement,2026-07-26,FALSE_OR_UNSUPPORTED,Not applicable,No,False or unsupported,0,,0.0,"Contested; SEC alleged fraud, settlement had no admission, and a 2023 jury found no investor liability",Tesla was not taken private. The SEC alleged the funding was not secured; Musk and Tesla settled without admitting or denying wrongdoing. A separate civil jury later found Musk not liable to investors.,https://www.sec.gov/newsroom/press-releases/2018-226,Elon Musk settles SEC fraud charges; Tesla charged with and resolves securities law charge,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","Do not label this a proven lie. The underlying financing claim was unsupported, but intent and legal liability were contested."
SPACEX-001,2011,SpaceX,Mars,Dated forecast,Reach Mars in about 10 years.,Around 2021,https://archive.is/c2u4U,NYT audit of Musk business goals,Tier 1 independent transcription,2026-07-26,NOT_FULFILLED,Missed earliest estimate,No,Not applicable,0,0,0.0,Not established,SpaceX had not sent a spacecraft to Mars by 2021 or by the evaluation date.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-002,2011,SpaceX,Mars,Long-range forecast,Reach Mars within 15 to 20 years in the worst case.,2026 to 2031,https://archive.is/c2u4U,NYT audit of Musk business goals,Tier 1 independent transcription,2026-07-26,PENDING,Window partly open,Pending,Not applicable,,,,Not established,"The earliest edge of the stated worst-case window had arrived, but the full window runs through roughly 2031.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded because the stated range has not fully elapsed.
SPACEX-003,2012-07-12,SpaceX,Human Mars mission,Dated forecast,"People would reach Mars in 12 to 15 years, and in less than 20 years.",Most likely 2024 to 2027; outer bound 2032,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,PENDING,Most-likely window nearly elapsed; outer bound future,Pending,Not applicable,,,,Not established,"No human has reached Mars, but the most-likely window does not fully expire until July 2027 and the broader outer bound is later.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded until the stated window expires.
SPACEX-004,2019-09-28,SpaceX,Starship orbital flight,Dated forecast,Send Starship to orbit in less than six months.,By roughly 2020-03,https://www.reuters.com/article/lifestyle/science/elon-musk-unveils-new-mars-rocket-prototype-expects-missions-in-months-idUSKBN1WE0OF/,Musk unveils Starship prototype and expects missions in months,Tier 1 independent quoting Musk,2026-07-26,FULFILLED_LATE,About three years late,Yes,Not applicable,1,0,0.5,Not established,The first integrated Starship flight test occurred in April 2023 and did not complete a full orbit.,https://www.reuters.com/business/aerospace-defense/elon-musks-spacex-launches-debut-flight-starship-rocket-system-2023-04-20/,SpaceX launches debut flight of Starship rocket system,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-005,2019-09-28,SpaceX,Starship crewed flight,Dated forecast,Fly people on Starship in the following year.,2020,https://www.reuters.com/article/lifestyle/science/elon-musk-unveils-new-mars-rocket-prototype-expects-missions-in-months-idUSKBN1WE0OF/,Musk unveils Starship prototype and expects missions in months,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Starship had not carried people by 2020 or by the evaluation date.,https://www.reuters.com/business/aerospace-defense/elon-musks-spacex-launches-debut-flight-starship-rocket-system-2023-04-20/,SpaceX launches debut flight of Starship rocket system,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-006,2022-02-10,SpaceX,Starship orbital flight,Dated forecast,Starship would reach orbit during 2022.,2022-12-31,https://www.reuters.com/lifestyle/science/spacex-chief-elon-musk-highly-confident-his-starship-will-reach-orbit-this-year-2022-02-11/,Musk highly confident Starship will reach orbit this year,Tier 1 independent quoting Musk,2026-07-26,FULFILLED_LATE,Missed by several months,Yes,Not applicable,1,0,0.75,Not established,The first integrated Starship test flight occurred in April 2023.,https://www.reuters.com/business/aerospace-defense/elon-musks-spacex-launches-debut-flight-starship-rocket-system-2023-04-20/,SpaceX launches debut flight of Starship rocket system,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-007,2022-08-22,SpaceX,Starship orbital flight,Repeated dated goal,Make Starship reach orbit by the end of 2022.,2022-12-31,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,FULFILLED_LATE,Missed by several months,Yes,Not applicable,1,0,0.75,Not established,The first integrated flight occurred in April 2023.,https://www.reuters.com/business/aerospace-defense/elon-musks-spacex-launches-debut-flight-starship-rocket-system-2023-04-20/,SpaceX launches debut flight of Starship rocket system,,,High,Yes,Repeated public deadline included because the project was explicitly re-promised,"Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-008,2022-02-10,SpaceX,Starship manufacturing,Dated forecast,Build a new Starship and booster every month by the end of 2022.,2022-12-31,https://www.reuters.com/lifestyle/science/spacex-chief-elon-musk-highly-confident-his-starship-will-reach-orbit-this-year-2022-02-11/,Musk highly confident Starship will reach orbit this year,Tier 1 independent quoting Musk,2026-07-26,UNCLEAR,Public evidence insufficient,Unclear,Not applicable,,,,Not established,SpaceX did not publish enough standardized manufacturing data to verify whether a complete new ship-and-booster set was produced every month.,https://www.reuters.com/lifestyle/science/spacex-chief-elon-musk-highly-confident-his-starship-will-reach-orbit-this-year-2022-02-11/,Musk highly confident Starship will reach orbit this year,,,Medium,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded because production cadence is not independently verifiable from public data.
SPACEX-009,2018-09,SpaceX,dearMoon,Dated promise,Fly Japanese billionaire Yusaku Maezawa and artists around the Moon in 2023.,2023,https://www.reuters.com/lifestyle/science/spacex-chief-elon-musk-highly-confident-his-starship-will-reach-orbit-this-year-2022-02-11/,Musk highly confident Starship will reach orbit this year,Tier 1 independent,2026-07-26,NOT_FULFILLED,Missed and canceled,No,Not applicable,0,0,0.0,Not established,The mission did not fly in 2023 and Maezawa canceled it in 2024 because the schedule remained uncertain.,https://www.reuters.com/technology/space/japanese-billionaire-maezawa-dearmoon-mission-cancels-moon-flyby-2024-06-01/,Japanese billionaire Maezawa cancels dearMoon mission,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-010,2023-04-20,SpaceX,Starship second flight,Dated forecast,Launch Starship's second flight in roughly six weeks after the first integrated test.,Around 2023-06,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,FULFILLED_LATE,About five months late,Yes,Not applicable,1,0,0.5,Not established,"Starship's second integrated flight launched on November 18, 2023.",https://www.spacex.com/launches/mission/?missionId=starship-flight-2,SpaceX Starship Flight 2,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-011,2024-03,SpaceX,Mars,Long-range forecast,Starship would reach Mars within five years.,By roughly 2029,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,PENDING,Future target,Pending,Not applicable,,,,Not established,The deadline remains in the future.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-012,2024-04,SpaceX,Mars city,Long-range forecast,One million people would live on Mars in about 20 years.,Around 2044,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,PENDING,Future target,Pending,Not applicable,,,,Not established,The target is decades in the future and cannot yet be scored.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-013,2024-11-20,SpaceX,Uncrewed Mars mission,Dated forecast,Send several uncrewed Starships to Mars in two years.,Around 2026-11,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,PENDING,Future target,Pending,Not applicable,,,,Not established,The target date had not arrived by the evaluation date.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-014,2024-11-20,SpaceX,Crewed Mars mission,Dated forecast,"If the uncrewed missions succeeded, send crewed ships to Mars in four years.",Around 2028-11,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,PENDING,Conditional and future,Pending,Not applicable,,,,Not established,The deadline and prerequisite remain in the future.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-015,2025-03-15,SpaceX,Uncrewed Mars mission,Dated forecast,Launch Starship toward Mars at the end of 2026 carrying an Optimus robot.,End of 2026,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,PENDING,Future target,Pending,Not applicable,,,,Not established,The target date had not arrived by July 2026.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-016,2025-03-15,SpaceX,Human Mars landing,Dated forecast,"Begin human Mars landings as early as 2029, with 2031 more likely.",2029 to 2031,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,PENDING,Future target,Pending,Not applicable,,,,Not established,The stated window remains in the future.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-017,2019-10,SpaceX,Crew Dragon,Dated forecast,Have Crew Dragon hardware ready for a crewed launch within roughly three to four months.,Early 2020,https://www.reuters.com/article/us-space-spacex-musk/spacex-ceo-musk-says-crew-dragon-capsule-will-be-ready-in-three-to-four-months-idUSKBN1WH1LN/,Musk says Crew Dragon capsule will be ready in three to four months,Tier 1 independent quoting Musk,2026-07-26,FULFILLED_LATE,Crewed launch occurred in May 2020,Yes,Not applicable,1,0,0.75,Not established,"NASA and SpaceX launched Demo-2 with astronauts on May 30, 2020, several months beyond the shortest reading of the forecast.",https://www.nasa.gov/mission/nasas-spacex-demo-2/,NASA's SpaceX Demo-2 mission,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
SPACEX-018,2017,SpaceX,Falcon Heavy,Dated forecast,Launch Falcon Heavy during 2017 after repeated schedule revisions.,2017,https://www.nasa.gov/history/5-years-ago-first-flight-of-the-falcon-heavy-rocket/,"NASA: Five years ago, first flight of Falcon Heavy",Official retrospective,2026-07-26,FULFILLED_LATE,Missed by weeks,Yes,Not applicable,1,0,0.75,Not established,"Falcon Heavy's first flight occurred on February 6, 2018.",https://www.nasa.gov/history/5-years-ago-first-flight-of-the-falcon-heavy-rocket/,"NASA: Five years ago, first flight of Falcon Heavy",,,Medium-High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",The precise 2017 promise was reported repeatedly; NASA supplies the definitive outcome date.
X-001,2022-10-28,X / Twitter,Content moderation council,Dated procedural promise,Create a diverse content-moderation council and make no major content decisions or account reinstatements before it convened.,Before major moderation decisions or reinstatements,https://www.reuters.com/markets/deals/elon-musk-says-twitter-will-create-content-moderation-council-2022-10-28/,Musk says Twitter will create content moderation council,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Reinstatements occurred first,No,Not applicable,0,0,0.0,Not established,"Musk reinstated major accounts, including Donald Trump's, before any announced council convened; Twitter later dissolved its existing Trust and Safety Council.",https://www.reuters.com/technology/elon-musk-says-twitter-provide-amnesty-some-suspended-accounts-starting-next-2022-11-24/,Musk says Twitter to provide amnesty to some suspended accounts,https://www.reuters.com/technology/twitter-dissolves-trust-safety-council-2022-12-13/,Twitter dissolves Trust and Safety Council,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
X-002,2022-11-06,X / Twitter,ElonJet account,Promise,"Keep the account tracking his private jet online despite the personal-safety risk, as evidence of his free-speech commitment.",No deadline; ongoing commitment,https://politifact.com/factchecks/2022/dec/19/elon-musk/elon-musk-said-he-wouldnt-ban-the-twitter-account/,Musk said he would not ban the Twitter account tracking his jet,Established specialist fact-checker linking the original post,2026-07-26,PROMISE_REVERSED,Reversed within weeks,No,Not applicable,0,,0.0,Not established,"Twitter suspended @ElonJet on December 14, 2022. PolitiFact classified the reversal as a Full Flop.",https://politifact.com/factchecks/2022/dec/19/elon-musk/elon-musk-said-he-wouldnt-ban-the-twitter-account/,Musk said he would not ban the Twitter account tracking his jet,,,High,Yes,Complete current PolitiFact Musk speaker-profile promise-reversal entry,"Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
